productName,releaseYear_scaled,memSize_scaled,memBusWidth_scaled,gpuClock_scaled,memClock_scaled,unifiedShader_scaled,tmu_scaled,rop_scaled,manufacturer_encoded,igp_encoded,bus_encoded,memType_encoded,gpuChip_encoded
GeForce RTX 4050,1.0,0.0624997656249414,0.011764705882352941,0.8250753985351141,0.9968916518650089,0.22022988505747126,0.13636363636363635,0.1875,5,0,24,13,7
Arc A350M,0.9729729729729755,0.031249757812439452,0.00392156862745098,0.12494614390348988,0.663854351687389,0.04367816091954023,0.05454545454545454,0.09375,3,0,26,13,78
Arc A370M,0.9729729729729755,0.031249757812439452,0.00392156862745098,0.12494614390348988,0.663854351687389,0.05839080459770115,0.07272727272727272,0.125,3,0,26,13,78
Arc A380,0.9729729729729755,0.031249757812439452,0.00392156862745098,0.12494614390348988,0.663854351687389,0.05839080459770115,0.07272727272727272,0.125,3,0,26,13,78
Arc A550M,0.9729729729729755,0.0624997656249414,0.011764705882352941,0.12494614390348988,0.663854351687389,0.11724137931034483,0.14545454545454545,0.25,3,0,24,13,79
Arc A730M,0.9729729729729755,0.09374977343744335,0.0196078431372549,0.12494614390348988,0.663854351687389,0.1760919540229885,0.21818181818181817,0.375,3,0,24,13,79
Arc A770,0.9729729729729755,0.1249997812499453,0.027450980392156862,0.12494614390348988,0.663854351687389,0.23494252873563218,0.2909090909090909,0.5,3,0,24,13,79
Arc A770M,0.9729729729729755,0.1249997812499453,0.027450980392156862,0.12494614390348988,0.663854351687389,0.23494252873563218,0.2909090909090909,0.5,3,0,24,13,79
Arc A780,0.9729729729729755,0.1249997812499453,0.027450980392156862,0.12494614390348988,0.48312611012433393,0.23494252873563218,0.2909090909090909,0.5,3,0,24,14,79
Arctic Sound-M,0.9729729729729755,0.1249997812499453,0.4980392156862745,0.3834554071520896,0.5306394316163411,0.4703448275862069,0.2909090909090909,0.5,3,0,24,17,18
GeForce MX550,0.9729729729729755,0.015624753906188475,0.00392156862745098,0.45454545454545453,0.663854351687389,0.05839080459770115,0.03636363636363636,0.0625,5,0,26,13,434
GeForce MX570,0.9729729729729755,0.031249757812439452,0.00392156862745098,0.4640241275312365,0.663854351687389,0.11724137931034483,0.07272727272727272,0.15625,5,0,26,13,116
GeForce RTX 3050 4 GB,0.9729729729729755,0.031249757812439452,0.011764705882352941,0.6613528651443342,0.774866785079929,0.13195402298850575,0.08181818181818182,0.125,5,0,26,13,115
GeForce RTX 3050 8 GB,0.9729729729729755,0.0624997656249414,0.011764705882352941,0.6643688065489013,0.774866785079929,0.14666666666666667,0.09090909090909091,0.125,5,0,26,13,114
GeForce RTX 3050 8 GB GA107,0.9729729729729755,0.0624997656249414,0.011764705882352941,0.6643688065489013,0.774866785079929,0.14666666666666667,0.09090909090909091,0.125,5,0,26,13,115
GeForce RTX 3050 OEM,0.9729729729729755,0.0624997656249414,0.011764705882352941,0.6484274019819043,0.774866785079929,0.14666666666666667,0.09090909090909091,0.125,5,0,26,13,114
GeForce RTX 3060 Ti GA103,0.9729729729729755,0.0624997656249414,0.027450980392156862,0.6031882809133994,0.774866785079929,0.2790804597701149,0.17272727272727273,0.3125,5,0,24,13,112
GeForce RTX 3070 Ti Mobile,0.9729729729729755,0.0624997656249414,0.027450980392156862,0.3899181387333046,0.774866785079929,0.3232183908045977,0.19999999999999998,0.3125,5,0,24,13,113
GeForce RTX 3080 12 GB,0.9729729729729755,0.09374977343744335,0.043137254901960784,0.5385609651012494,0.5253108348134992,0.5144827586206896,0.3181818181818182,0.375,5,0,24,14,111
GeForce RTX 3080 Ti 20 GB,0.9729729729729755,0.15624978906244724,0.03529411764705882,0.5708746230073244,0.5253108348134992,0.5880459770114942,0.36363636363636365,0.4375,5,0,24,14,111
GeForce RTX 3080 Ti Max-Q,0.9729729729729755,0.1249997812499453,0.027450980392156862,0.24773804394657473,0.663854351687389,0.4262068965517241,0.2636363636363636,0.375,5,0,24,13,112
GeForce RTX 3080 Ti Mobile,0.9729729729729755,0.1249997812499453,0.027450980392156862,0.34467901766479964,0.885879218472469,0.4262068965517241,0.2636363636363636,0.375,5,0,24,13,112
GeForce RTX 3090 Ti,0.9729729729729755,0.1874997968749492,0.043137254901960784,0.6678155967255492,0.5808170515097691,0.617471264367816,0.3818181818181818,0.4375,5,0,24,14,111
GeForce RTX 4060,0.9729729729729755,0.09374977343744335,0.0196078431372549,0.8250753985351141,0.9968916518650089,0.33793103448275863,0.20909090909090908,0.25,5,0,24,13,6
GeForce RTX 4070,0.9729729729729755,0.09374977343744335,0.0196078431372549,0.8250753985351141,0.9968916518650089,0.44091954022988505,0.2727272727272727,0.3125,5,0,24,13,6
GeForce RTX 4080,0.9729729729729755,0.1249997812499453,0.027450980392156862,0.8250753985351141,0.9968916518650089,0.5586206896551723,0.34545454545454546,0.375,5,0,24,14,5
